+---------------------+------------+------+------+
| upload_time         | visitor_id | xoff | w    |
| 2015-04-05 20:42:41 |         -1 |   20 |  140 |
| 2015-04-05 20:42:50 |         -1 |  540 |  100 |
| 2015-04-05 20:42:59 |         -1 |  360 |  160 |
| 2015-04-05 20:43:01 |         -1 |  360 |  160 |
| 2015-04-05 20:43:10 |         -1 |  360 |  200 |
| 2015-04-05 20:43:19 |         20 |  120 |   40 |
| 2015-04-05 20:44:40 |         21 |  280 |   60 |
| 2015-04-05 20:44:42 |         21 |  340 |   80 |
| 2015-04-05 20:44:44 |         21 |  320 |  100 |
| 2015-04-05 20:44:47 |         21 |  280 |  120 |
| 2015-04-05 20:44:54 |         21 |  300 |  140 |
| 2015-04-05 20:44:56 |         21 |  320 |  140 |
| 2015-04-05 20:44:58 |         21 |  320 |  140 |
| 2015-04-05 20:45:01 |         21 |  300 |  140 |
| 2015-04-05 20:45:03 |         21 |  280 |  140 |
| 2015-04-05 20:45:06 |         21 |  300 |  140 |
| 2015-04-05 20:45:08 |         21 |  280 |  160 |
| 2015-04-05 20:45:10 |         21 |  280 |  140 |
| 2015-04-05 20:45:13 |         21 |  280 |  140 |
| 2015-04-05 20:45:15 |         21 |  280 |  140 |
| 2015-04-05 20:45:18 |         21 |  280 |  160 |
| 2015-04-05 20:45:20 |         21 |  280 |  160 |
| 2015-04-05 20:45:22 |         21 |  260 |  180 |
| 2015-04-05 20:45:25 |         21 |   20 |   80 |
| 2015-04-05 20:45:25 |         21 |  280 |  140 |
| 2015-04-05 20:45:27 |         21 |  280 |  140 |
| 2015-04-05 20:45:30 |         21 |   60 |   60 |
| 2015-04-05 20:45:30 |         21 |  260 |  160 |
| 2015-04-05 20:45:32 |         21 |  260 |  160 |
| 2015-04-05 20:45:35 |         21 |   60 |   60 |
| 2015-04-05 20:45:35 |         21 |  280 |  140 |
| 2015-04-05 20:45:37 |         21 |  340 |  140 |
| 2015-04-05 20:45:37 |         21 |  100 |   60 |
| 2015-04-05 20:46:11 |         -1 |  120 |  140 |
| 2015-04-05 20:46:17 |         -1 |  340 |  200 |
| 2015-04-05 20:46:33 |         22 |   20 |  140 |
| 2015-04-05 20:46:33 |         -1 |  400 |  180 |
| 2015-04-05 20:46:35 |         22 |   80 |  120 |
| 2015-04-05 20:47:07 |         23 |  560 |   80 |
| 2015-04-05 20:47:09 |         -1 |  180 |  140 |
| 2015-04-05 20:47:11 |         -1 |   20 |  160 |
| 2015-04-05 20:48:55 |         24 |  380 |  100 |
| 2015-04-05 20:48:57 |         24 |  300 |  100 |
| 2015-04-05 20:49:00 |         24 |  300 |  100 |
| 2015-04-05 20:49:02 |         24 |  280 |  100 |
| 2015-04-05 20:49:04 |         24 |  320 |   80 |
| 2015-04-05 20:49:07 |         24 |  320 |   80 |
| 2015-04-05 20:49:36 |         -1 |  340 |  160 |
| 2015-04-05 20:49:38 |         -1 |  340 |  160 |
| 2015-04-05 20:49:40 |         -1 |  340 |  180 |
| 2015-04-05 20:49:43 |         -1 |  340 |  180 |
| 2015-04-05 20:49:45 |         -1 |  360 |  160 |
| 2015-04-05 20:49:47 |         -1 |  360 |  160 |
| 2015-04-05 20:49:50 |         -1 |  380 |  160 |
| 2015-04-05 20:49:52 |         -1 |  360 |  160 |
| 2015-04-05 20:49:54 |         -1 |  360 |  180 |
| 2015-04-05 20:49:57 |         -1 |  340 |  180 |
| 2015-04-05 20:49:59 |         -1 |  360 |  160 |
| 2015-04-05 20:50:01 |         -1 |  360 |  160 |
| 2015-04-05 20:50:04 |         -1 |  340 |  180 |
| 2015-04-05 20:50:06 |         25 |  540 |  100 |
| 2015-04-05 20:50:33 |         -1 |  280 |  160 |
| 2015-04-05 20:50:33 |         -1 |  540 |  100 |
| 2015-04-05 20:50:35 |         26 |    0 |  140 |
| 2015-04-05 20:50:57 |         -1 |  520 |  100 |
| 2015-04-05 20:51:26 |         -1 |  520 |  100 |
| 2015-04-05 20:51:31 |         -1 |   60 |  140 |
| 2015-04-05 20:51:37 |         -1 |  540 |  100 |
| 2015-04-05 20:53:51 |         27 |  180 |  120 |
| 2015-04-05 20:54:11 |         27 |  320 |   60 |
| 2015-04-05 20:54:11 |         -1 |  240 |  200 |
| 2015-04-05 20:54:22 |         27 |  320 |   80 |
| 2015-04-05 20:54:25 |         -1 |  540 |  100 |
| 2015-04-05 20:54:34 |         -1 |  540 |  100 |
| 2015-04-05 20:55:12 |         28 |  540 |  100 |
| 2015-04-05 20:55:44 |         29 |  360 |   60 |
| 2015-04-05 20:56:36 |         -1 |  540 |  100 |
| 2015-04-05 20:56:41 |         30 |  240 |  140 |
| 2015-04-05 20:56:43 |         30 |  260 |  140 |
| 2015-04-05 20:56:46 |         30 |  260 |  140 |
| 2015-04-05 20:56:48 |         30 |  240 |  140 |
| 2015-04-05 20:56:50 |         30 |  240 |  140 |
| 2015-04-05 20:56:53 |         30 |  240 |  140 |
| 2015-04-05 20:56:58 |         -1 |  520 |  100 |
| 2015-04-05 20:59:18 |         31 |  240 |  160 |
| 2015-04-05 20:59:46 |         31 |  400 |  160 |
| 2015-04-05 20:59:48 |         31 |  380 |  160 |
| 2015-04-05 20:59:51 |         31 |  360 |  160 |
| 2015-04-05 20:59:53 |         31 |  420 |  180 |
| 2015-04-05 20:59:56 |         -1 |  420 |  200 |
| 2015-04-05 21:00:20 |         31 |  100 |  180 |
| 2015-04-05 21:00:22 |         31 |  320 |  180 |
| 2015-04-05 21:01:25 |         32 |  100 |   60 |
| 2015-04-05 21:01:25 |         32 |  260 |  100 |
| 2015-04-05 21:02:25 |         33 |  180 |  100 |
| 2015-04-05 21:02:43 |         33 |   80 |   20 |
| 2015-04-05 21:04:27 |         34 |  220 |   80 |
| 2015-04-05 21:07:06 |         -1 |  240 |  160 |
| 2015-04-05 21:07:08 |         35 |  200 |  140 |
| 2015-04-05 21:08:21 |         36 |   80 |   40 |
| 2015-04-05 21:08:21 |         36 |  320 |   80 |
| 2015-04-05 21:09:47 |         37 |  340 |   60 |
| 2015-04-05 21:10:05 |         37 |  540 |   80 |
| 2015-04-05 21:10:07 |         37 |  460 |  160 |
| 2015-04-05 21:10:09 |         37 |  400 |  160 |
| 2015-04-05 21:10:12 |         37 |  420 |  160 |
| 2015-04-05 21:10:56 |         38 |  340 |   60 |
| 2015-04-05 21:11:27 |         -1 |   20 |  180 |
| 2015-04-05 21:11:29 |         -1 |  260 |  200 |
| 2015-04-05 21:11:31 |         -1 |  360 |  180 |
| 2015-04-05 21:11:47 |         -1 |  160 |  120 |
| 2015-04-05 21:12:11 |         -1 |  140 |  160 |
| 2015-04-05 21:12:13 |         -1 |  240 |  180 |
| 2015-04-05 21:12:18 |         -1 |  200 |  200 |
| 2015-04-05 21:12:20 |         -1 |  540 |  100 |
| 2015-04-05 21:12:20 |         -1 |  220 |  200 |
| 2015-04-05 21:12:29 |         -1 |  100 |  200 |
| 2015-04-05 21:12:32 |         -1 |  100 |  200 |
| 2015-04-05 21:12:34 |         -1 |  100 |  200 |
| 2015-04-05 21:12:39 |         39 |   60 |  180 |
| 2015-04-05 21:12:46 |         -1 |   80 |  200 |
| 2015-04-05 21:12:50 |         -1 |   80 |  200 |
| 2015-04-05 21:12:52 |         -1 |  100 |  200 |
| 2015-04-05 21:12:55 |         -1 |   80 |  200 |
| 2015-04-05 21:12:57 |         39 |   80 |  180 |
| 2015-04-05 21:13:00 |         -1 |   80 |  200 |
| 2015-04-05 21:13:05 |         -1 |   60 |  200 |
| 2015-04-05 21:13:07 |         -1 |   60 |  200 |
| 2015-04-05 21:13:14 |         -1 |   80 |  200 |
| 2015-04-05 21:13:37 |         -1 |   60 |  220 |
| 2015-04-05 21:14:40 |         -1 |   80 |  200 |
| 2015-04-05 21:14:42 |         -1 |   80 |  200 |
| 2015-04-05 21:14:49 |         -1 |   80 |  180 |
| 2015-04-05 21:14:52 |         -1 |   80 |  200 |
| 2015-04-05 21:15:04 |         -1 |   80 |  200 |
| 2015-04-05 21:15:12 |         -1 |   60 |  200 |
| 2015-04-05 21:15:14 |         -1 |   60 |  200 |
| 2015-04-05 21:15:17 |         40 |   60 |  180 |
| 2015-04-05 21:15:19 |         -1 |   60 |  200 |
| 2015-04-05 21:15:26 |         -1 |  540 |  100 |
| 2015-04-05 21:15:49 |         41 |  360 |  180 |
| 2015-04-05 21:15:50 |         -1 |  300 |  180 |
| 2015-04-05 21:15:53 |         -1 |  300 |  200 |
| 2015-04-05 21:15:55 |         -1 |  300 |  180 |
| 2015-04-05 21:15:58 |         -1 |  300 |  180 |
| 2015-04-05 21:16:00 |         -1 |  300 |  200 |
| 2015-04-05 21:16:02 |         41 |  320 |  180 |
| 2015-04-05 21:16:04 |         -1 |  320 |  180 |
| 2015-04-05 21:16:07 |         -1 |  320 |  180 |
| 2015-04-05 21:16:07 |         -1 |  460 |  140 |
| 2015-04-05 21:16:09 |         41 |  500 |  120 |
| 2015-04-05 21:16:09 |         41 |  300 |  180 |
| 2015-04-05 21:16:12 |         41 |  500 |  140 |
| 2015-04-05 21:18:14 |         42 |  260 |  140 |
| 2015-04-05 21:18:19 |         42 |  280 |  140 |
| 2015-04-05 21:18:21 |         42 |  280 |  140 |
| 2015-04-05 21:19:25 |         43 |  500 |   60 |
| 2015-04-05 21:20:35 |         44 |  280 |  160 |
| 2015-04-05 21:20:44 |         44 |  280 |  180 |
| 2015-04-05 21:20:49 |         44 |  260 |  180 |
| 2015-04-05 21:20:58 |         44 |  280 |  180 |
| 2015-04-05 21:21:09 |         44 |  180 |  180 |
| 2015-04-05 21:21:11 |         44 |  180 |  180 |
| 2015-04-05 21:21:16 |         44 |  180 |  180 |
| 2015-04-05 21:21:18 |         -1 |  160 |  200 |
| 2015-04-05 21:21:20 |         -1 |  160 |  200 |
| 2015-04-05 21:21:23 |         44 |  160 |  180 |
| 2015-04-05 21:21:25 |         -1 |  160 |  200 |
| 2015-04-05 21:21:37 |         44 |  180 |  180 |
| 2015-04-05 21:21:43 |         44 |  160 |  160 |
| 2015-04-05 21:21:46 |         44 |  180 |  180 |
| 2015-04-05 21:21:48 |         44 |  200 |  160 |
